🔬 Force-Directed Thermal Diffusion with Optimized Parameters
==============================================================
🎯 Deep geological time: 1 million years of thermal evolution
   Realistic foundry heat: 1800K foundry with gradient to 1523K melting point
   Foundry layers (0-20km): 1800K-1523K (realistic asthenosphere heat)
   Surface radiation: Stefan-Boltzmann T^4 radiation to space (top layers only)
📊 Initial Setup:
   60 thermal nodes
   🔥 HEAT SOURCE: Core heat input at bottom layer
   ❄️  HEAT SINK: Space radiation cooling at top layer
📊 Initial Setup:
   60 thermal nodes (doubled depth to 200km)
   🔥 HEAT SOURCE: Core heat engine (8 layers, 0-40km)
   ❄️  HEAT SINK: Space cooling sink (8 layers, 160-200km)
   ⚡ EXPONENTIAL DIFFUSION: 2 neighbors each side with falloff

🌡️  Initial Temperature Profile (REALISTIC GEOLOGICAL HEAT):
   Foundry layers (0-20km): 1800K → 1523K (realistic asthenosphere)
   Lithosphere (20-160km): Variable geothermal gradient
   Surface layers (160-300km): 400K → 80K (natural cooling + T^4 radiation)

🌡️  Running scientifically calibrated thermal equilibration...
   Step 12300: Range=540.0K, Surface=1800.0K, Core=1278.1K, Boundary=(1685.1K,1697.8K)
   Step 12400: Range=533.8K, Surface=1800.0K, Core=1282.5K, Boundary=(1684.7K,1697.3K)
   Step 12500: Range=527.8K, Surface=1800.0K, Core=1286.7K, Boundary=(1684.2K,1696.8K)
   Step 12600: Range=521.9K, Surface=1800.0K, Core=1290.8K, Boundary=(1683.8K,1696.2K)
   Step 12700: Range=516.1K, Surface=1800.0K, Core=1294.8K, Boundary=(1683.3K,1695.7K)
   Step 12800: Range=510.4K, Surface=1800.0K, Core=1298.7K, Boundary=(1682.9K,1695.2K)
   Step 12900: Range=504.8K, Surface=1800.0K, Core=1302.5K, Boundary=(1682.4K,1694.6K)
   Step 13000: Range=499.3K, Surface=1800.0K, Core=1306.2K, Boundary=(1681.9K,1694.1K)
   Step 13100: Range=493.9K, Surface=1800.0K, Core=1309.8K, Boundary=(1681.5K,1693.6K)
   Step 13200: Range=488.6K, Surface=1800.0K, Core=1313.3K, Boundary=(1681.0K,1693.1K)
   Step 13300: Range=483.4K, Surface=1800.0K, Core=1316.8K, Boundary=(1680.6K,1692.5K)
   Step 13400: Range=479.8K, Surface=1800.0K, Core=1320.2K, Boundary=(1680.1K,1692.0K)
   Step 13500: Range=476.5K, Surface=1800.0K, Core=1323.5K, Boundary=(1679.7K,1691.5K)
   Step 13600: Range=473.3K, Surface=1800.0K, Core=1326.7K, Boundary=(1679.2K,1690.9K)
   Step 13700: Range=470.1K, Surface=1800.0K, Core=1329.9K, Boundary=(1678.8K,1690.4K)
   Step 13800: Range=467.0K, Surface=1800.0K, Core=1333.0K, Boundary=(1678.3K,1689.9K)
   Step 13900: Range=464.0K, Surface=1800.0K, Core=1336.0K, Boundary=(1677.8K,1689.3K)
   Step 14000: Range=461.0K, Surface=1800.0K, Core=1339.0K, Boundary=(1677.4K,1688.8K)
   Step 14100: Range=458.0K, Surface=1800.0K, Core=1342.0K, Boundary=(1676.9K,1688.2K)
   Step 14200: Range=455.1K, Surface=1800.0K, Core=1344.9K, Boundary=(1676.4K,1687.7K)
   Step 14300: Range=452.3K, Surface=1800.0K, Core=1347.7K, Boundary=(1676.0K,1687.2K)
   Step 14400: Range=449.5K, Surface=1800.0K, Core=1350.5K, Boundary=(1675.5K,1686.6K)
   Step 14500: Range=446.7K, Surface=1800.0K, Core=1353.3K, Boundary=(1675.1K,1686.1K)
   Step 14600: Range=444.0K, Surface=1800.0K, Core=1356.0K, Boundary=(1674.6K,1685.6K)
   Step 14700: Range=441.3K, Surface=1800.0K, Core=1358.7K, Boundary=(1674.1K,1685.0K)
   Step 14800: Range=438.6K, Surface=1800.0K, Core=1361.4K, Boundary=(1673.7K,1684.5K)
   Step 14900: Range=436.0K, Surface=1800.0K, Core=1364.0K, Boundary=(1673.2K,1683.9K)
   Step 15000: Range=433.4K, Surface=1800.0K, Core=1366.6K, Boundary=(1672.7K,1683.4K)
   Step 15100: Range=430.8K, Surface=1800.0K, Core=1369.2K, Boundary=(1672.3K,1682.9K)
   Step 15200: Range=428.3K, Surface=1800.0K, Core=1371.7K, Boundary=(1671.8K,1682.3K)
   Step 15300: Range=425.8K, Surface=1800.0K, Core=1374.2K, Boundary=(1671.4K,1681.8K)
   Step 15400: Range=423.4K, Surface=1800.0K, Core=1376.6K, Boundary=(1670.9K,1681.2K)
   Step 15500: Range=420.9K, Surface=1800.0K, Core=1379.1K, Boundary=(1670.4K,1680.7K)
   Step 15600: Range=418.5K, Surface=1800.0K, Core=1381.5K, Boundary=(1670.0K,1680.2K)
   Step 15700: Range=416.1K, Surface=1800.0K, Core=1383.9K, Boundary=(1669.5K,1679.6K)
   Step 15800: Range=413.8K, Surface=1800.0K, Core=1386.2K, Boundary=(1669.0K,1679.1K)
   Step 15900: Range=411.5K, Surface=1800.0K, Core=1388.5K, Boundary=(1668.6K,1678.6K)
   Step 16000: Range=409.2K, Surface=1800.0K, Core=1390.8K, Boundary=(1668.1K,1678.0K)
   Step 16100: Range=406.9K, Surface=1800.0K, Core=1393.1K, Boundary=(1667.7K,1677.5K)
   Step 16200: Range=404.7K, Surface=1800.0K, Core=1395.3K, Boundary=(1667.2K,1677.0K)
   Step 16300: Range=402.5K, Surface=1800.0K, Core=1397.5K, Boundary=(1666.7K,1676.4K)
   Step 16400: Range=400.3K, Surface=1800.0K, Core=1399.7K, Boundary=(1666.3K,1675.9K)
   Step 16500: Range=398.2K, Surface=1800.0K, Core=1401.8K, Boundary=(1665.8K,1675.4K)
   Step 16600: Range=396.1K, Surface=1800.0K, Core=1403.9K, Boundary=(1665.4K,1674.8K)
   Step 16700: Range=394.0K, Surface=1800.0K, Core=1406.0K, Boundary=(1664.9K,1674.3K)
   Step 16800: Range=391.9K, Surface=1800.0K, Core=1408.1K, Boundary=(1664.5K,1673.8K)
   Step 16900: Range=389.9K, Surface=1800.0K, Core=1410.1K, Boundary=(1664.0K,1673.3K)
   Step 17000: Range=387.9K, Surface=1800.0K, Core=1412.1K, Boundary=(1663.6K,1672.7K)
   Step 17100: Range=385.9K, Surface=1800.0K, Core=1414.1K, Boundary=(1663.1K,1672.2K)
   Step 17200: Range=383.9K, Surface=1800.0K, Core=1416.1K, Boundary=(1662.7K,1671.7K)
   Step 17300: Range=381.9K, Surface=1800.0K, Core=1418.1K, Boundary=(1662.2K,1671.2K)
   Step 17400: Range=380.0K, Surface=1800.0K, Core=1420.0K, Boundary=(1661.8K,1670.7K)
   Step 17500: Range=378.0K, Surface=1800.0K, Core=1422.0K, Boundary=(1661.3K,1670.2K)
   Step 17600: Range=376.1K, Surface=1800.0K, Core=1423.9K, Boundary=(1660.9K,1669.6K)
   Step 17700: Range=374.3K, Surface=1800.0K, Core=1425.7K, Boundary=(1660.4K,1669.1K)
   Step 17800: Range=372.4K, Surface=1800.0K, Core=1427.6K, Boundary=(1660.0K,1668.6K)
   Step 17900: Range=370.6K, Surface=1800.0K, Core=1429.4K, Boundary=(1659.6K,1668.1K)
   Step 18000: Range=368.7K, Surface=1800.0K, Core=1431.3K, Boundary=(1659.1K,1667.6K)
   Step 18100: Range=366.9K, Surface=1800.0K, Core=1433.1K, Boundary=(1658.7K,1667.1K)
   Step 18200: Range=365.1K, Surface=1800.0K, Core=1434.9K, Boundary=(1658.3K,1666.6K)
   Step 18300: Range=363.4K, Surface=1800.0K, Core=1436.6K, Boundary=(1657.8K,1666.1K)
   Step 18400: Range=361.7K, Surface=1800.0K, Core=1438.3K, Boundary=(1657.4K,1665.6K)
   Step 18500: Range=360.0K, Surface=1800.0K, Core=1440.0K, Boundary=(1657.0K,1665.1K)
   Step 18600: Range=358.3K, Surface=1800.0K, Core=1441.7K, Boundary=(1656.5K,1664.6K)
   Step 18700: Range=356.6K, Surface=1800.0K, Core=1443.4K, Boundary=(1656.1K,1664.1K)
   Step 18800: Range=354.9K, Surface=1800.0K, Core=1445.1K, Boundary=(1655.7K,1663.6K)
   Step 18900: Range=353.2K, Surface=1800.0K, Core=1446.8K, Boundary=(1655.3K,1663.2K)
   Step 19000: Range=351.6K, Surface=1800.0K, Core=1448.4K, Boundary=(1654.9K,1662.7K)
   Step 19100: Range=350.0K, Surface=1800.0K, Core=1450.0K, Boundary=(1654.4K,1662.2K)
   Step 19200: Range=348.4K, Surface=1800.0K, Core=1451.6K, Boundary=(1654.0K,1661.7K)
   Step 19300: Range=346.8K, Surface=1800.0K, Core=1453.2K, Boundary=(1653.6K,1661.2K)
   Step 19400: Range=345.2K, Surface=1800.0K, Core=1454.8K, Boundary=(1653.2K,1660.8K)
   Step 19500: Range=343.6K, Surface=1800.0K, Core=1456.4K, Boundary=(1652.8K,1660.3K)
   Step 19600: Range=342.0K, Surface=1800.0K, Core=1458.0K, Boundary=(1652.4K,1659.8K)
   Step 19700: Range=340.5K, Surface=1800.0K, Core=1459.5K, Boundary=(1652.0K,1659.4K)
   Step 19800: Range=338.9K, Surface=1800.0K, Core=1461.1K, Boundary=(1651.6K,1658.9K)
   Step 19900: Range=337.4K, Surface=1800.0K, Core=1462.6K, Boundary=(1651.2K,1658.4K)
   Step 20000: Range=335.8K, Surface=1800.0K, Core=1464.2K, Boundary=(1650.8K,1658.0K)
   Step 20100: Range=334.3K, Surface=1800.0K, Core=1465.7K, Boundary=(1650.4K,1657.5K)
   Step 20200: Range=332.9K, Surface=1800.0K, Core=1467.1K, Boundary=(1650.0K,1657.1K)
   Step 20300: Range=331.3K, Surface=1800.0K, Core=1468.7K, Boundary=(1649.6K,1656.6K)
   Step 20400: Range=329.9K, Surface=1800.0K, Core=1470.1K, Boundary=(1649.2K,1656.2K)
   Step 20500: Range=328.3K, Surface=1800.0K, Core=1471.7K, Boundary=(1648.8K,1655.7K)
   Step 20600: Range=326.8K, Surface=1800.0K, Core=1473.2K, Boundary=(1648.4K,1655.3K)
   Step 20700: Range=325.2K, Surface=1800.0K, Core=1474.8K, Boundary=(1648.1K,1654.8K)
   Step 20800: Range=323.8K, Surface=1800.0K, Core=1476.2K, Boundary=(1647.7K,1654.4K)
   Step 20900: Range=322.5K, Surface=1800.0K, Core=1477.5K, Boundary=(1647.3K,1654.0K)
